intent,count
contract_win,35279
launch_delay,5180
regulatory_review,5169
regulatory_approval_filing,5144
revenue_record_up,5130
award_recognition,5114
next_gen_launch,5091
quality_recall,5087
division_leadership_change,5079
revenue_miss,5071
margin_improvement,5061
product_breakthrough,5058
pilot_mixed,5057
strategic_acquisition,5052
strategic_alternatives,5045
margin_pressure,5037
patent_filing,5011
new_orders_down,4998
strategy_focus_domain,4994
investor_day_focus_domain,4993
scheduled_maintenance,4963
customer_acq_up,4944
legal_class_action,4934
share_buyback,4904
operating_income_down,4899
supply_chain_disruption_region,4151
facility_upgrade_region,4092
capex_region,4089
contract_loss_region,4076
expansion_region,4047
demand_strong_raise_outlook,4000
withdraw_region,3979
region_revenue_decline,3961
office_opening_region,3915
partnership,3561
joint_venture,3484
event_confirm,3009
event_present,2995
exec_steps_down,2566
exec_investor_letter,2549
earnings_beat,531
restructuring_plan,531
major_restructuring,523
merger_talks,516
guidance_raise,515
guidance_lower,496
regulatory_milestone,495
shareholder_meeting,489
sustainability_report,487
board_meeting_strategy,476
